prodcodeid	dmdid	bnfcode	readcode	termfromemis	dmdproductdescription	bnfname	productname	readcode_desc	dmdlevel	vpid	atc	formulation	routeofadministration	drugsubstancename	substancestrength	category
1436041000033110	35918111000001108	0301030S0AAARAR	NA	theophylline 400mg modified-release tablets	theophylline 400mg modified-release tablets	theophylline 400mg modified-release tablets	theophylline 400mg modified-release tablets	NA	VMP	35918111000001108	R03DA04	modified-release tablet	oral	theophylline	400.000mg	theophylline
1436141000033114	35918011000001107	0301030S0AAAPAP	NA	theophylline 300mg modified-release tablets	theophylline 300mg modified-release tablets	theophylline 300mg modified-release tablets	theophylline 300mg modified-release tablets	NA	VMP	35918011000001107	R03DA04	modified-release tablet	oral	theophylline	300.000mg	theophylline
1436941000033111	165611000001108	0501050C0BKAAAK	NA	tiloryth 250mg gastro-resistant capsules (tillomed laboratories ltd)	tiloryth 250mg gastro-resistant capsules (tillomed laboratories ltd)	tiloryth 250mg gastro-resistant capsules	tiloryth 250mg gastro-resistant capsules	NA	AMP	36064711000001106	J01FA01	gastro-resistant capsule	oral	erythromycin	250.000mg	abx
1489341000033112	454311000001109	0301030S0BKABAM	NA	uniphyllin continus 200mg tablets (napp pharmaceuticals ltd)	uniphyllin continus 200mg tablets (napp pharmaceuticals ltd)	uniphyllin continus 200mg tablets	uniphyllin continus 200mg tablets	NA	AMP	35917711000001108	R03DA04	modified-release tablet	oral	theophylline	200.000mg	theophylline
1490441000033110	2891811000001100	0301030S0BKACAP	NA	uniphyllin continus 300mg tablets (napp pharmaceuticals ltd)	uniphyllin continus 300mg tablets (napp pharmaceuticals ltd)	uniphyllin continus 300mg tablets	uniphyllin continus 300mg tablets	NA	AMP	35918011000001107	R03DA04	modified-release tablet	oral	theophylline	300.000mg	theophylline
1490641000033112	2892211000001108	0301030S0BKAAAR	NA	uniphyllin continus 400mg tablets (napp pharmaceuticals ltd)	uniphyllin continus 400mg tablets (napp pharmaceuticals ltd)	uniphyllin continus 400mg tablets	uniphyllin continus 400mg tablets	NA	AMP	35918111000001108	R03DA04	modified-release tablet	oral	theophylline	400.000mg	theophylline
1505741000033119	3382711000001107	0301011R0BEAHAQ	NA	ventolin 200micrograms/dose accuhaler (glaxosmithkline uk ltd)	ventolin 200micrograms/dose accuhaler (glaxosmithkline uk ltd)	ventolin 200micrograms/dose accuhaler	ventolin 200micrograms/dose accuhaler	NA	AMP	39113311000001107	R03AC02	inhalation powder	inhalation	salbutamol	200.000microgram/1.000dose	saba
1505941000033116	NA	NA	NA	ventolin easi-breathe breath-actuated inhaler 100 micrograms/puff	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1506041000033114	705811000001100	0501021M0BBAAAA	NA	velosef 250mg capsules (bristol-myers squibb pharmaceuticals ltd)	velosef 250mg capsules (bristol-myers squibb pharmaceuticals ltd)	velosef 250mg capsules	velosef 250mg capsules	NA	AMP	323944009	J01DB09	capsule	oral	cefradine	250.000mg	abx
1506141000033113	8911000001102	0501021M0BBABAB	NA	velosef 500mg capsules (bristol-myers squibb pharmaceuticals ltd)	velosef 500mg capsules (bristol-myers squibb pharmaceuticals ltd)	velosef 500mg capsules	velosef 500mg capsules	NA	AMP	323945005	J01DB09	capsule	oral	cefradine	500.000mg	abx
1506841000033119	3080411000001101	0301011R0BLAAAI	NA	ventodisks 200microgram with diskhaler (glaxosmithkline uk ltd)	ventodisks 200microgram with diskhaler (glaxosmithkline uk ltd)	ventodisks 200microgram with diskhaler	ventodisks 200microgram with diskhaler	NA	AMP	35936711000001103	R03AC02	inhalation powder	inhalation	salbutamol sulfate	200.000microgram	saba
1506941000033110	3083011000001100	0301011R0BLACAJ	NA	ventodisks 400microgram with diskhaler (glaxosmithkline uk ltd)	ventodisks 400microgram with diskhaler (glaxosmithkline uk ltd)	ventodisks 400microgram with diskhaler	ventodisks 400microgram with diskhaler	NA	AMP	35936911000001101	R03AC02	inhalation powder	inhalation	salbutamol sulfate	400.000microgram	saba
1508041000033110	NA	NA	NA	ventolin inhaler 100 micrograms/puff	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1510341000033111	3086111000001109	0301011R0BLABAK	NA	ventodisks 200microgram (glaxosmithkline uk ltd)	ventodisks 200microgram (glaxosmithkline uk ltd)	ventodisks 200microgram	ventodisks 200microgram	NA	AMP	35936611000001107	R03AC02	inhalation powder	inhalation	salbutamol sulfate	200.000microgram	saba
1510441000033117	3089011000001102	0301011R0BLADAL	NA	ventodisks 400microgram (glaxosmithkline uk ltd)	ventodisks 400microgram (glaxosmithkline uk ltd)	ventodisks 400microgram	ventodisks 400microgram	NA	AMP	35936811000001106	R03AC02	inhalation powder	inhalation	salbutamol sulfate	400.000microgram	saba
1510541000033116	3214211000001100	0301011R0BEAPAV	NA	ventolin 200microgram rotacaps (glaxosmithkline uk ltd)	ventolin 200microgram rotacaps (glaxosmithkline uk ltd)	ventolin 200microgram rotacaps	ventolin 200microgram rotacaps	NA	AMP	39709711000001100	R03AC02	inhalation powder	inhalation	salbutamol sulfate	200.000microgram	saba
1510641000033115	3218011000001101	0301011R0BEAQAW	NA	ventolin 400microgram rotacaps (glaxosmithkline uk ltd)	ventolin 400microgram rotacaps (glaxosmithkline uk ltd)	ventolin 400microgram rotacaps	ventolin 400microgram rotacaps	NA	AMP	39709811000001108	R03AC02	inhalation powder	inhalation	salbutamol sulfate	400.000microgram	saba
1510741000033112	906811000001103	21011000500	NA	ventolin rotahaler (glaxosmithkline uk ltd)	ventolin rotahaler (glaxosmithkline uk ltd)	rotahaler (becotide/ventide/ventolin)	ventolin rotahaler	NA	AMP	3467711000001100	NA	NA	NA	NA	NA	saba
1511941000033116	3466111000001104	0501021M0BBACAF	NA	velosef 250mg/5ml syrup (bristol-myers squibb pharmaceuticals ltd)	velosef 250mg/5ml syrup (bristol-myers squibb pharmaceuticals ltd)	velosef 250mg/5ml syrup	velosef 250mg/5ml syrup	NA	AMP	36134511000001102	J01DB09	oral solution	oral	cefradine	50.000mg/1.000ml	abx
1514941000033119	2854011000001102	0501030I0BEABAB	NA	vibramycin 100mg capsules (pfizer ltd)	vibramycin 100mg capsules (pfizer ltd)	vibramycin 100mg capsules	vibramycin 100mg capsules	NA	AMP	324059006	J01AA02	capsule	oral	doxycycline hyclate	100.000mg	abx
1515041000033119	2849511000001107	0501030I0BEAAAA	NA	vibramycin 50 capsules (pfizer ltd)	vibramycin 50 capsules (pfizer ltd)	vibramycin 50 capsules	vibramycin 50 capsules	NA	AMP	324070004	J01AA02	capsule	oral	doxycycline hyclate	50.000mg	abx
1523841000033118	2847211000001103	0501030Z0BCAAAB	e757.	vibramycin-d 100mg dispersible tablets (pfizer ltd)	vibramycin-d 100mg dispersible tablets (pfizer ltd)	vibramycin-d 100mg dispersible tablets	vibramycin-d 100mg dispersible tablets	vibramycin-d 100mg dispersible tablets	AMP	39710311000001106	J01AA02	dispersible tablet	oral	doxycycline monohydrate	100.000mg	abx
1553141000033111	85911000001108	0501050A0BBAAAA	e933.	zithromax 250mg capsules (pfizer ltd)	zithromax 250mg capsules (pfizer ltd)	zithromax 250mg capsules	zithromax 250mg capsules	zithromax 250mg capsules	AMP	324252006	J01FA10	capsule	oral	azithromycin dihydrate	250.000mg	abx
1556241000033110	3253511000001109	0501021K0BBADAD	NA	zinnat suspension 125mg granules sachets (glaxosmithkline uk ltd)	zinnat suspension 125mg granules sachets (glaxosmithkline uk ltd)	zinnat suspension 125mg granules sachets	zinnat suspension 125mg granules sachets	NA	AMP	323874002	J01DC02	granules	oral	cefuroxime axetil	125.000mg	abx
1557041000033117	238811000001105	0501021K0BBACAC	NA	zinnat 125mg/5ml oral suspension (glaxosmithkline uk ltd)	zinnat 125mg/5ml oral suspension (sandoz ltd)	zinnat 125mg/5ml oral suspension	zinnat 125mg/5ml oral suspension	NA	AMP	323872003	J01DC02	oral suspension	oral	cefuroxime axetil	25.000mg/1.000ml	abx
1557141000033118	650911000001103	0501050A0BBABAB	NA	zithromax 200mg/5ml oral suspension (pfizer ltd)	zithromax 200mg/5ml oral suspension (pfizer ltd)	zithromax 200mg/5ml oral suspension	zithromax 200mg/5ml oral suspension	NA	AMP	324253001	J01FA10	oral suspension	oral	azithromycin	40.000mg/1.000ml	abx
1557341000033115	211911000001100	0501021K0BBABAB	e685.	zinnat 250mg tablets (glaxosmithkline uk ltd)	zinnat 250mg tablets (sandoz ltd)	zinnat 250mg tablets	zinnat 250mg tablets	zinnat 250mg tablets	AMP	39694611000001101	J01DC02	tablet	oral	cefuroxime axetil	250.000mg	abx
1558241000033114	228011000001102	0501021K0BBAAAA	e684.	zinnat 125mg tablets (glaxosmithkline uk ltd)	zinnat 125mg tablets (sandoz ltd)	zinnat 125mg tablets	zinnat 125mg tablets	zinnat 125mg tablets	AMP	39684511000001101	J01DC02	tablet	oral	cefuroxime axetil	125.000mg	abx
1571041000033110	3112511000001109	0302000C0BIAEBJ	NA	asmabec 100 clickhaler (focus pharmaceuticals ltd)	asmabec 100 clickhaler (focus pharmaceuticals ltd)	asmabec 100 clickhaler	asmabec 100 clickhaler	NA	AMP	35908011000001109	R03BA01	inhalation powder	inhalation	beclometasone dipropionate	100.000microgram/1.000dose	ics
1571141000033114	3174111000001102	0302000C0BIAFBK	NA	asmabec 250 clickhaler (focus pharmaceuticals ltd)	asmabec 250 clickhaler (focus pharmaceuticals ltd)	asmabec 250 clickhaler	asmabec 250 clickhaler	NA	AMP	35908711000001106	R03BA01	inhalation powder	inhalation	beclometasone dipropionate	250.000microgram/1.000dose	ics
1571241000033119	3111911000001108	0302000C0BIADBI	NA	asmabec 50 clickhaler (focus pharmaceuticals ltd)	asmabec 50 clickhaler (focus pharmaceuticals ltd)	asmabec 50 clickhaler	asmabec 50 clickhaler	NA	AMP	35909411000001108	R03BA01	inhalation powder	inhalation	beclometasone dipropionate	50.000microgram/1.000dose	ics
157241000033119	NA	NA	NA	bricanyl expectorant elixir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1572841000033112	39733511000001103	0501050A0AAADAD	e937.	azithromycin 500mg tablets	azithromycin 500mg tablets	azithromycin 500mg tablets	azithromycin 500mg tablets	azithromycin 500mg tablets	VMP	39733511000001103	J01FA10	tablet	oral	azithromycin	500.000mg	abx
1577941000033118	3179511000001105	0302000C0BFAGAR	NA	beclazone 200 inhaler (teva uk ltd)	beclazone 200 inhaler (teva uk ltd)	beclazone 200 inhaler	beclazone 200 inhaler	NA	AMP	35908511000001101	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	200.000microgram/1.000dose	ics
1579541000033118	NA	NA	NA	bricanyl turbohaler breath-actuated dry powder inhaler 500 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1582841000033117	3492511000001109	0501120L0BBAJBG	NA	ciproxin 250mg/5ml oral suspension (bayer plc)	ciproxin 250mg/5ml oral suspension (bayer plc)	ciproxin 250mg/5ml oral suspension	ciproxin 250mg/5ml oral suspension	NA	AMP	324602005	J01MA02	oral suspension	oral	ciprofloxacin	50.000mg/1.000ml	abx
1582941000033113	324602005	0501120L0AABGBG	NA	ciprofloxacin 250mg/5ml oral suspension	ciprofloxacin 250mg/5ml oral suspension	ciprofloxacin 250mg/5ml oral suspension	ciprofloxacin 250mg/5ml oral suspension	NA	VMP	324602005	J01MA02	oral suspension	oral	ciprofloxacin	50.000mg/1.000ml	abx
158441000033117	3248011000001106	0301011V0BBADAA	NA	bricanyl 250micrograms/dose inhaler (astrazeneca uk ltd)	bricanyl 250micrograms/dose inhaler (astrazeneca uk ltd)	bricanyl 250micrograms/dose inhaler	bricanyl 250micrograms/dose inhaler	NA	AMP	39113111000001105	R03AC03	pressurised inhalation	inhalation	terbutaline sulfate	250.000microgram/1.000dose	saba
1594141000033117	39732511000001105	0501013K0AAANAN	NA	co-amoxiclav 875mg/125mg tablets	co-amoxiclav 875mg/125mg tablets	co-amoxiclav 875mg/125mg tablets	co-amoxiclav 875mg/125mg tablets	NA	VMP	39732511000001105	J01CR02	tablet	oral	amoxicillin trihydrate/ potassium clavulanate	875.000mg + 125.000mg	abx
160241000033110	NA	NA	NA	bricanyl refill canister 250 micrograms/puff	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1603241000033119	324070004	0501030I0AAAAAA	e75x.	doxycycline 50mg capsules	doxycycline 50mg capsules	doxycycline 50mg capsules	doxycycline 50mg capsules	doxycycline 50mg capsules	VMP	324070004	J01AA02	capsule	oral	doxycycline hyclate	50.000mg	abx
160941000033118	3248711000001108	0301011V0BBAFAF	NA	bricanyl 250micrograms/dose spacer inhaler (astrazeneca uk ltd)	bricanyl 250micrograms/dose spacer inhaler (astrazeneca uk ltd)	bricanyl 250micrograms/dose spacer inhaler	bricanyl 250micrograms/dose spacer inhaler	NA	AMP	35916111000001109	R03AC03	pressurised inhalation	inhalation	terbutaline sulfate	250.000microgram/1.000dose	saba
1626241000033115	39697411000001109	0501120X0AAABAB	egC1.	levofloxacin 250mg tablets	levofloxacin 250mg tablets	levofloxacin 250mg tablets	levofloxacin 250mg tablets	levofloxacin 250mg tablets	VMP	39697411000001109	J01MA12	tablet	oral	levofloxacin hemihydrate	250.000mg	abx
1626341000033113	324634001	0501120X0AAAAAA	egC2.	levofloxacin 500mg tablets	levofloxacin 500mg tablets	levofloxacin 500mg tablets	levofloxacin 500mg tablets	levofloxacin 500mg tablets	VMP	324634001	J01MA12	tablet	oral	levofloxacin hemihydrate	500.000mg	abx
163641000033116	3218311000001103	0301011V0BBARBB	NA	bricanyl 500micrograms/dose turbohaler (astrazeneca uk ltd)	bricanyl 500micrograms/dose turbohaler (astrazeneca uk ltd)	bricanyl 500micrograms/dose turbohaler	bricanyl 500micrograms/dose turbohaler	NA	AMP	35916311000001106	R03AC03	inhalation powder	inhalation	terbutaline sulfate	500.000microgram/1.000dose	saba
163741000033113	35912511000001101	0302000K0AAADAD	NA	budesonide 200micrograms/dose inhaler	budesonide 200micrograms/dose inhaler	budesonide 200micrograms/dose inhaler	budesonide 200micrograms/dose inhaler	NA	VMP	35912511000001101	R03BA02	pressurised inhalation	inhalation	budesonide	200.000microgram/1.000dose	ics
163841000033115	35912811000001103	0302000K0AAAAAA	NA	budesonide 50micrograms/dose inhaler	budesonide 50micrograms/dose inhaler	budesonide 50micrograms/dose inhaler	budesonide 50micrograms/dose inhaler	NA	VMP	35912811000001103	R03BA02	pressurised inhalation	inhalation	budesonide	50.000microgram/1.000dose	ics
1671041000033116	3176811000001102	0302000C0BJAABE	c665.	qvar 50 inhaler (teva uk ltd)	qvar 50 inhaler (teva uk ltd)	qvar 50 inhaler	qvar 50 inhaler	qvar 50 inhaler	AMP	35909611000001106	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	50.000microgram/1.000dose	ics
1671141000033117	3175611000001106	0302000C0BJABBF	c666.	qvar 100 inhaler (teva uk ltd)	qvar 100 inhaler (teva uk ltd)	qvar 100 inhaler	qvar 100 inhaler	qvar 100 inhaler	AMP	35908111000001105	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	100.000microgram/1.000dose	ics
1671241000033112	3177411000001102	0302000C0BJACBG	c667.	qvar 50 autohaler (teva uk ltd)	qvar 50 autohaler (teva uk ltd)	qvar 50 autohaler	qvar 50 autohaler	qvar 50 autohaler	AMP	35909311000001101	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	50.000microgram/1.000dose	ics
1671341000033119	3177711000001108	0302000C0BJADBH	c668.	qvar 100 autohaler (teva uk ltd)	qvar 100 autohaler (teva uk ltd)	qvar 100 autohaler	qvar 100 autohaler	qvar 100 autohaler	AMP	35907911000001107	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	100.000microgram/1.000dose	ics
1671741000033118	161011000001103	0501013B0BNACAA	NA	respillin 250mg capsules (kent pharma (uk) ltd)	respillin 250mg capsules (kent pharma (uk) ltd)	respillin 250mg capsules	respillin 250mg capsules	NA	AMP	39732311000001104	J01CA04	capsule	oral	amoxicillin trihydrate	250.000mg	abx
1671841000033111	14811000001102	0501013B0BNADAB	NA	respillin 500mg capsules (kent pharma (uk) ltd)	respillin 500mg capsules (kent pharma (uk) ltd)	respillin 500mg capsules	respillin 500mg capsules	NA	AMP	39732411000001106	J01CA04	capsule	oral	amoxicillin trihydrate	500.000mg	abx
1698741000033115	3077511000001109	0501120X0BBABAB	egC4.	tavanic 250mg tablets (sanofi)	tavanic 250mg tablets (sanofi)	tavanic 250mg tablets	tavanic 250mg tablets	tavanic 250mg tablets	AMP	39697411000001109	J01MA12	tablet	oral	levofloxacin hemihydrate	250.000mg	abx
1698841000033113	3078311000001102	0501120X0BBAAAA	egC5.	tavanic 500mg tablets (sanofi)	tavanic 500mg tablets (sanofi)	tavanic 500mg tablets	tavanic 500mg tablets	tavanic 500mg tablets	AMP	324634001	J01MA12	tablet	oral	levofloxacin hemihydrate	500.000mg	abx
1699041000033114	35916311000001106	0301011V0AABBBB	NA	terbutaline 500micrograms/dose dry powder inhaler	terbutaline 500micrograms/dose dry powder inhaler	terbutaline 500micrograms/dose dry powder inhaler	terbutaline 500micrograms/dose dry powder inhaler	NA	VMP	35916311000001106	R03AC03	inhalation powder	inhalation	terbutaline sulfate	500.000microgram/1.000dose	saba
1705441000033110	222311000001102	0301011R0BEAIAP	NA	ventolin 100micrograms/dose evohaler (glaxosmithkline uk ltd)	ventolin 100micrograms/dose evohaler (glaxosmithkline uk ltd)	ventolin 100micrograms/dose evohaler	ventolin 100micrograms/dose evohaler	NA	AMP	39113611000001102	R03AC02	pressurised inhalation	inhalation	salbutamol sulfate	100.000microgram/1.000dose	saba
1705841000033113	2849711000001102	0501030I0BEAEAA	e75D.	vibramycin acne pack 50mg capsules (pfizer ltd)	vibramycin acne pack 50mg capsules (pfizer ltd)	vibramycin acne pack 50mg capsules	vibramycin acne pack 50mg capsules	vibramycin acne pack 50mg capsules	AMP	324070004	J01AA02	capsule	oral	doxycycline hyclate	50.000mg	abx
1713741000033116	794511000001102	0501050A0BBADAD	NA	zithromax 500mg tablets (pfizer ltd)	zithromax 500mg tablets (pfizer ltd)	zithromax 500mg tablets	zithromax 500mg tablets	NA	AMP	39733511000001103	J01FA10	tablet	oral	azithromycin	500.000mg	abx
1714241000033112	3214311000001108	0301011R0BMABBU	NA	airomir 100micrograms/dose autohaler (teva uk ltd)	airomir 100micrograms/dose autohaler (teva uk ltd)	airomir 100micrograms/dose autohaler	airomir 100micrograms/dose autohaler	NA	AMP	39112711000001103	R03AC02	pressurised inhalation	inhalation	salbutamol sulfate	100.000microgram/1.000dose	saba
1751341000033111	39112711000001103	0301011R0AABUBU	NA	salbutamol 100micrograms/dose breath actuated inhaler cfc free	salbutamol 100micrograms/dose breath actuated inhaler cfc free	salbutamol 100micrograms/dose breath actuated inh cfc free	salbutamol 100micrograms/dose breath actuated inhaler cfc free	NA	VMP	39112711000001103	R03AC02	pressurised inhalation	inhalation	salbutamol sulfate	100.000microgram/1.000dose	saba
1752141000033117	3186911000001100	0302000N0BCAAAX	c1D1.	seretide 100 accuhaler (glaxosmithkline uk ltd)	seretide 100 accuhaler (glaxosmithkline uk ltd)	seretide 100 accuhaler	seretide 100 accuhaler	seretide 100 accuhaler	AMP	38897611000001100	R03AK06	inhalation powder	inhalation	fluticasone propionate/ salmeterol xinafoate	100.000microgram/1.000dose + 50.000microgram/1.000dose	laba-ics
1752241000033112	3187211000001106	0302000N0BCABAY	c1D2.	seretide 250 accuhaler (glaxosmithkline uk ltd)	seretide 250 accuhaler (glaxosmithkline uk ltd)	seretide 250 accuhaler	seretide 250 accuhaler	seretide 250 accuhaler	AMP	38897511000001104	R03AK06	inhalation powder	inhalation	fluticasone propionate/ salmeterol xinafoate	250.000microgram/1.000dose + 50.000microgram/1.000dose	laba-ics
1752341000033119	3188311000001102	0302000N0BCACAZ	c1D3.	seretide 500 accuhaler (glaxosmithkline uk ltd)	seretide 500 accuhaler (glaxosmithkline uk ltd)	seretide 500 accuhaler	seretide 500 accuhaler	seretide 500 accuhaler	AMP	38897411000001103	R03AK06	inhalation powder	inhalation	fluticasone propionate/ salmeterol xinafoate	500.000microgram/1.000dose + 50.000microgram/1.000dose	laba-ics
1768141000033111	NA	NA	NA	salbulin cfc-free inhaler 100 micrograms/puff	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1830241000033110	35917811000001100	0301030S0AAANAN	NA	theophylline 250mg modified-release tablets	theophylline 250mg modified-release tablets	theophylline 250mg modified-release tablets	theophylline 250mg modified-release tablets	NA	VMP	35917811000001100	R03DA04	modified-release tablet	oral	theophylline	250.000mg	theophylline
1830541000033112	37083211000001101	0501050B0AAAHAH	NA	clarithromycin 250mg/5ml oral suspension	clarithromycin 250mg/5ml oral suspension	clarithromycin 250mg/5ml oral suspension	clarithromycin 250mg/5ml oral suspension	NA	VMP	37083211000001101	J01FA09	oral suspension	oral	clarithromycin	50.000mg/1.000ml	abx
1830641000033113	211000001101	0501050B0BBAHAH	NA	klaricid paediatric 250mg/5ml oral suspension (mylan)	klaricid paediatric 250mg/5ml oral suspension (viatris uk healthcare ltd)	klaricid paediatric 250mg/5ml oral suspension	klaricid paediatric 250mg/5ml oral suspension	NA	AMP	37083211000001101	J01FA09	oral suspension	oral	clarithromycin	50.000mg/1.000ml	abx
1860741000033110	36066611000001106	0301040M0AAAAAA	NA	fenoterol 100micrograms/dose / ipratropium 40micrograms/dose inhaler	fenoterol 100micrograms/dose / ipratropium 40micrograms/dose inhaler	fenoterol 100microg/dose / ipratropium 40microg/dose inh	fenoterol 100micrograms/dose / ipratropium 40micrograms/dose inhaler	NA	VMP	36066611000001106	R03AL01	pressurised inhalation	inhalation	fenoterol hydrobromide/ ipratropium bromide	100.000microgram/1.000dose + 40.000microgram/1.000dose	saba-sama
1903141000033113	NA	NA	NA	salbutamol dry powder breath-actuated inhaler 95 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1905441000033116	NA	NA	NA	salbutamol insufflator type 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1905641000033119	39709711000001100	0301011R0AAAVAV	NA	salbutamol 200microgram inhalation powder capsules	salbutamol 200microgram inhalation powder capsules	salbutamol 200microgram inhalation powder capsules	salbutamol 200microgram inhalation powder capsules	NA	VMP	39709711000001100	R03AC02	inhalation powder	inhalation	salbutamol sulfate	200.000microgram	saba
1905741000033111	39709811000001108	0301011R0AAAWAW	NA	salbutamol 400microgram inhalation powder capsules	salbutamol 400microgram inhalation powder capsules	salbutamol 400microgram inhalation powder capsules	salbutamol 400microgram inhalation powder capsules	NA	VMP	39709811000001108	R03AC02	inhalation powder	inhalation	salbutamol sulfate	400.000microgram	saba
1907341000033117	NA	NA	NA	salbutamol dry powder disks + disk inhaler 200 micrograms	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1907441000033111	NA	NA	NA	salbutamol dry powder disks + disk inhaler 400 micrograms	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1907541000033112	39113311000001107	0301011R0AAAQAQ	NA	salbutamol 200micrograms/dose dry powder inhaler	salbutamol 200micrograms/dose dry powder inhaler	salbutamol 200micrograms/dose dry powder inhaler	salbutamol 200micrograms/dose dry powder inhaler	NA	VMP	39113311000001107	R03AC02	inhalation powder	inhalation	salbutamol	200.000microgram/1.000dose	saba
1907641000033113	NA	NA	NA	salbutamol dry powder for inhalation 400 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1913441000033115	NA	NA	NA	salbutamol dry powder breath-actuated inhaler 200 micrograms	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1914141000033114	39113211000001104	0301011U0AAAEAE	NA	salmeterol 50micrograms/dose dry powder inhaler	salmeterol 50micrograms/dose dry powder inhaler	salmeterol 50micrograms/dose dry powder inhaler	salmeterol 50micrograms/dose dry powder inhaler	NA	VMP	39113211000001104	R03AC12	inhalation powder	inhalation	salmeterol xinafoate	50.000microgram/1.000dose	laba
1914241000033119	35937811000001108	0301011U0AAAAAA	NA	salmeterol 50microgram inhalation powder blisters with device	salmeterol 50microgram inhalation powder blisters with device	salmeterol 50microgram inhalation pdr blist with device	salmeterol 50microgram inhalation powder blisters with device	NA	VMP	35937811000001108	R03AC12	inhalation powder	inhalation	salmeterol xinafoate	50.000microgram	laba
1914341000033112	38897911000001106	0302000N0AAARAR	NA	fluticasone propionate 50micrograms/dose dry powder inhaler	fluticasone propionate 50micrograms/dose dry powder inhaler	fluticasone propionate 50micrograms/dose dry powder inhaler	fluticasone propionate 50micrograms/dose dry powder inhaler	NA	VMP	38897911000001106	R03BA05	inhalation powder	inhalation	fluticasone propionate	50.000microgram/1.000dose	ics
1914441000033118	38897811000001101	0302000N0AAASAS	NA	fluticasone propionate 100micrograms/dose dry powder inhaler	fluticasone propionate 100micrograms/dose dry powder inhaler	fluticasone propionate 100micrograms/dose dry powder inhaler	fluticasone propionate 100micrograms/dose dry powder inhaler	NA	VMP	38897811000001101	R03BA05	inhalation powder	inhalation	fluticasone propionate	100.000microgram/1.000dose	ics
1914541000033117	36565411000001101	0302000N0AAATAT	NA	fluticasone propionate 250micrograms/dose dry powder inhaler	fluticasone propionate 250micrograms/dose dry powder inhaler	fluticasone propionate 250micrograms/dose dry powder inhaler	fluticasone propionate 250micrograms/dose dry powder inhaler	NA	VMP	36565411000001101	R03BA05	inhalation powder	inhalation	fluticasone propionate	250.000microgram/1.000dose	ics
1914641000033116	38897711000001109	0302000N0AAAUAU	NA	fluticasone propionate 500micrograms/dose dry powder inhaler	fluticasone propionate 500micrograms/dose dry powder inhaler	fluticasone propionate 500micrograms/dose dry powder inhaler	fluticasone propionate 500micrograms/dose dry powder inhaler	NA	VMP	38897711000001109	R03BA05	inhalation powder	inhalation	fluticasone propionate	500.000microgram/1.000dose	ics
1914741000033113	36059911000001104	0302000N0AAAAAA	NA	fluticasone propionate 50microgram inhalation powder blisters with device	fluticasone propionate 50microgram inhalation powder blisters with device	fluticasone propionate 50microg inhalation pdr blist	fluticasone propionate 50microgram inhalation powder blisters with device	NA	VMP	36059911000001104	R03BA05	inhalation powder	inhalation	fluticasone propionate	50.000microgram	ics
1914841000033115	36059311000001100	0302000N0AAACAC	NA	fluticasone propionate 100microgram inhalation powder blisters with device	fluticasone propionate 100microgram inhalation powder blisters with device	fluticasone propionate100microg inhalation pdr blist	fluticasone propionate 100microgram inhalation powder blisters with device	NA	VMP	36059311000001100	R03BA05	inhalation powder	inhalation	fluticasone propionate	100.000microgram	ics
1914941000033111	36059411000001107	0302000N0AAAEAE	NA	fluticasone propionate 250microgram inhalation powder blisters with device	fluticasone propionate 250microgram inhalation powder blisters with device	fluticasone propionate 250mcg inhalation pdr blist + dev	fluticasone propionate 250microgram inhalation powder blisters with device	NA	VMP	36059411000001107	R03BA05	inhalation powder	inhalation	fluticasone propionate	250.000microgram	ics
1915041000033111	36059711000001101	0302000N0AAAPAP	NA	fluticasone propionate 500microgram inhalation powder blisters with device	fluticasone propionate 500microgram inhalation powder blisters with device	fluticasone propionate 500microg inhalation pdr blist	fluticasone propionate 500microgram inhalation powder blisters with device	NA	VMP	36059711000001101	R03BA05	inhalation powder	inhalation	fluticasone propionate	500.000microgram	ics
1924941000033118	324178009	0501050C0AAABAB	NA	erythromycin 250mg gastro-resistant tablets	erythromycin 250mg gastro-resistant tablets	erythromycin 250mg gastro-resistant tablets	erythromycin 250mg gastro-resistant tablets	NA	VMP	324178009	J01FA01	gastro-resistant tablet	oral	erythromycin	250.000mg	abx
