medcodeid	snomedctconceptid	snomedctdescriptionid	readcode	term	incident	prevalent	broad_ipf	narrow_ipf	treatment_ild	exposure_ild	autoimmune_ild	other
1759011000006112	129451001	1759011000006112	NA	respiratory bronchiolitis associated interstitial lung disease	1	1	0	0	0	0	0	1
2620011000006112	7548000	13456017	NA	rheumatic pneumonitis	1	1	0	0	0	0	1	0
162301000006117	398726004	1786545019	H570.00	rheumatoid lung	1	1	0	0	0	0	1	0
1786545019	398726004	1786545019	N04y000	rheumatoid lung	1	1	0	0	0	0	1	0
1778239014	398726004	1778239014	N042100	rheumatoid lung disease	1	1	0	0	0	0	1	0
6608771000006110	398640008	1778169012	NA	rheumatoid pneumoconiosis	1	1	0	0	0	1	0	0
1223250017	24369008	1223250017	AD50.00	sarcoidosis of lung	1	1	0	0	0	0	1	0
287930013	187233002	287930013	AD52.00	sarcoidosis of lung with sarcoidosis of lymph nodes	1	1	0	0	0	0	1	0
4782401000006112	196133001	2693851010	NA	scleroderma lung disease	1	1	0	0	0	0	1	0
4782411000006110	196133001	3006078014	NA	scleroderma of lung	1	1	0	0	0	0	1	0
2732841000006112	14700006	24981017	NA	shavers' disease	1	1	0	0	0	1	0	0
499259012	62371005	499259012	H434.00	siderosis	1	1	0	0	0	1	0	0
3513781000006118	62371005	103672013	NA	siderotic lung disease	1	1	0	0	0	1	0	0
141591000006118	805002	2411019	H42..00	silica and silicate pneumoconiosis	1	1	0	0	0	1	0	0
301556019	805002	2408015	H42z.00	silica pneumoconiosis nos	1	1	0	0	0	1	0	0
2511261000006114	805002	2671938017	NA	silicatosis	1	1	0	0	0	1	0	0
2411019	805002	2411019	H42..99	silicosis	1	1	0	0	0	1	0	0
101749012	61233003	101749012	H46z000	silo-fillers' disease	1	1	0	0	0	1	0	0
79212010	47515009	79212010	H421.00	simple silicosis	1	1	0	0	0	1	0	0
85415012	51277007	85415012	H435.00	stannosis	1	1	0	0	0	1	0	0
3513791000006115	62371005	103673015	NA	steel grinders' disease	1	1	0	0	0	1	0	0
2712171000006116	13394002	22892016	NA	suberosis	1	1	0	0	0	1	0	0
124281000006119	13394002	22894015	H353.00	suberosis ( cork-handlers' lung )	1	1	0	0	0	1	0	0
3593731000006118	67242002	111727012	NA	sugar cane workers' hypersensitivity pneumonitis	1	1	0	0	0	1	0	0
3689741000006119	73144008	121481010	NA	talc lung disease	1	1	0	0	0	1	0	0
121482015	73144008	121482015	H420.00	talc pneumoconiosis	1	1	0	0	0	1	0	0
3689761000006115	73144008	121483013	NA	talc workers' pneumoconiosis	1	1	0	0	0	1	0	0
3689721000006114	73144008	121479013	NA	talcosis	1	1	0	0	0	1	0	0
3331021000006111	51277007	85417016	NA	tin oxide pneumoconiosis	1	1	0	0	0	1	0	0
3331031000006114	51277007	85418014	NA	tin pneumoconiosis	1	1	0	0	0	1	0	0
4781831000006111	196027008	301573017	NA	toxic bronchiolitis obliterans	1	1	0	0	0	0	0	1
4782361000006119	196125002	2475607017	NA	uip - usual interstitial pneumonitis	1	1	1	1	0	0	0	0
7532701000006115	700250006	2989702012	NA	usual interstitial pneumonia	1	1	1	0	0	0	0	0
2475606014	196125002	2475606014	H563300	usual interstitial pneumonitis	1	1	1	1	0	0	0	0
4779041000006116	195353004	2837750016	NA	wegener granulomatosis	1	1	0	0	0	0	1	0
300579010	195353004	300579010	G754.00	wegener's granulomatosis	1	1	0	0	0	0	1	0
3513721000006117	62371005	103666013	NA	welders' lung	1	1	0	0	0	1	0	0
3513741000006112	62371005	103668014	NA	welders' siderosis	1	1	0	0	0	1	0	0
3425391000006116	56968009	94736015	NA	wood dust pneumonitis	1	1	0	0	0	1	0	0
